parcela,biomassa_chaves
EEG11,1891.217974
EEG12,2243.461697
EEG13,3135.50982
EEG14,3804.884198
EEG15,2000.517232
EEG21,4334.197127
EEG22,3001.257204
EEG23,1480.304359
EEG24,1120.400414
EEG25,6270.529777
EEG31,1932.794236
EEG32,3679.180899
EEG33,5625.465054
EEG34,1179.848374
EEG35,4642.663714
EEG41,1066.411348
EEG42,1858.930753
EEG43,249.8080112
EEG44,761.36188
EEG45,2273.668347
EEG51,1342.627912
EEG52,3719.852956
EEG53,1975.589888
EEG54,873.4825585
EEG55,1207.401261
ML11,6065.346294
ML12,2122.263282
ML13,11009.94288
ML14,4745.622873
ML15,7555.757098
ML21,4911.031245
ML22,4477.018412
ML23,8002.829124
ML24,3229.38188
ML25,3425.040877
MP1,1694.112548
MP2,897.6943434
MP3,1202.803887
MP4,963.4633952
MP5,2210.957779
MP6,1614.152807
REGUA_PV1,689.2273193
REGUA_PV2,1687.962419
REGUA_PV3,546.3078734
REGUA_PV4,2265.745496
REGUA_PV5,2292.46564
REGUA1,1673.721351
REGUA2,542.0292439
REGUA3,1124.990384
REGUA4,724.2579861
REGUA5,402.4819941
REGUA6,353.9993235
REGUA7,437.914016
REGUA8,380.5374417
S_HELENA1,1032.170136
S_HELENA2,409.8912072
S_HELENA3,573.5701943
S_HELENA4,675.5664409
S_HELENA5,573.6872335
S_HELENABaixada,633.045303
S_JORGE1,1743.066912
S_JORGE2,965.6414506
S_JORGE3,579.5716022
S_JORGE4,2515.437232
S_JORGE5,776.038515
