site,valor_s,valor_t,ca,mg,k,na,al,h,cmolc/Kg
CSA1,2.7,7.3,1.5,1.05,0.105,0.035,0.15,4.45,
CSA2,2.7,7.3,1.5,1.05,0.105,0.035,0.15,4.45,
CSA3,2.7,7.3,1.5,1.05,0.105,0.035,0.15,4.45,
CSA4,2.7,7.3,1.5,1.05,0.105,0.035,0.15,4.45,
CSA5,2.7,7.3,1.5,1.05,0.105,0.035,0.15,4.45,
CSA6,2.7,7.3,1.5,1.05,0.105,0.035,0.15,4.45,
CSA7,2.7,7.3,1.5,1.05,0.105,0.035,0.15,4.45,
EEG11,2.3,5.25,1.6,0.65,0.065,0.015,0.05,2.9,
EEG12,2.3,5.25,1.6,0.65,0.065,0.015,0.05,2.9,
EEG13,2.3,5.25,1.6,0.65,0.065,0.015,0.05,2.9,
EEG14,2.3,5.25,1.6,0.65,0.065,0.015,0.05,2.9,
EEG15,2.3,5.25,1.6,0.65,0.065,0.015,0.05,2.9,
EEG21,1.8,4.75,1.25,0.5,0.05,0.02,0.3,2.65,
EEG22,1.8,4.75,1.25,0.5,0.05,0.02,0.3,2.65,
EEG23,1.8,4.75,1.25,0.5,0.05,0.02,0.3,2.65,
EEG24,1.8,4.75,1.25,0.5,0.05,0.02,0.3,2.65,
EEG25,1.8,4.75,1.25,0.5,0.05,0.02,0.3,2.65,
EEG31,1.55,4.75,0.9,0.6,0.035,0.02,0.35,2.85,
EEG32,1.55,4.75,0.9,0.6,0.035,0.02,0.35,2.85,
EEG33,1.55,4.75,0.9,0.6,0.035,0.02,0.35,2.85,
EEG34,1.55,4.75,0.9,0.6,0.035,0.02,0.35,2.85,
EEG35,1.55,4.75,0.9,0.6,0.035,0.02,0.35,2.85,
EEG41,1.5,4.8,0.85,0.6,0.04,0.02,0.3,2.8,
EEG42,1.5,4.8,0.85,0.6,0.04,0.02,0.3,2.8,
EEG43,1.5,4.8,0.85,0.6,0.04,0.02,0.3,2.8,
EEG44,1.5,4.8,0.85,0.6,0.04,0.02,0.3,2.8,
EEG45,1.5,4.8,0.85,0.6,0.04,0.02,0.3,2.8,
EEG51,1.1,4.9,0.45,0.65,0.025,0.02,0.55,3.25,
EEG52,1.1,4.9,0.45,0.65,0.025,0.02,0.55,3.25,
EEG53,1.1,4.9,0.45,0.65,0.025,0.02,0.55,3.25,
EEG54,1.1,4.9,0.45,0.65,0.025,0.02,0.55,3.25,
EEG55,1.1,4.9,0.45,0.65,0.025,0.02,0.55,3.25,
ML11,0.15,7.5,0.1,0.1,0.045,0.025,1.15,6.2,
ML12,0.15,7.5,0.1,0.1,0.045,0.025,1.15,6.2,
ML13,0.15,7.5,0.1,0.1,0.045,0.025,1.15,6.2,
ML14,0.15,7.5,0.1,0.1,0.045,0.025,1.15,6.2,
ML15,0.15,7.5,0.1,0.1,0.045,0.025,1.15,6.2,
ML21,0.05,7.15,0,0,0.04,0.025,1.3,5.8,
ML22,0.05,7.15,0,0,0.04,0.025,1.3,5.8,
ML23,0.05,7.15,0,0,0.04,0.025,1.3,5.8,
ML24,0.05,7.15,0,0,0.04,0.025,1.3,5.8,
ML25,0.05,7.15,0,0,0.04,0.025,1.3,5.8,
MP1,3.9,6.2,1.35,2.1,0.4,0.035,0.25,2.05,
MP2,3.9,6.2,1.35,2.1,0.4,0.035,0.25,2.05,
MP3,3.9,6.2,1.35,2.1,0.4,0.035,0.25,2.05,
MP4,3.9,6.2,1.35,2.1,0.4,0.035,0.25,2.05,
MP5,3.9,6.2,1.35,2.1,0.4,0.035,0.25,2.05,
MP6,3.9,6.2,1.35,2.1,0.4,0.035,0.25,2.05,
REGUA_PV1,1.3,6.7,0.75,0.3,0.21,0.055,0.85,4.55,
REGUA_PV2,1.3,6.7,0.75,0.3,0.21,0.055,0.85,4.55,
REGUA_PV3,1.3,6.7,0.75,0.3,0.21,0.055,0.85,4.55,
REGUA_PV4,1.3,6.7,0.75,0.3,0.21,0.055,0.85,4.55,
REGUA_PV5,1.3,6.7,0.75,0.3,0.21,0.055,0.85,4.55,
REGUA1,1.1,7.3,0.8,0.4,0.08,0.035,0.55,5.65,
REGUA2,1.1,7.3,0.8,0.4,0.08,0.035,0.55,5.65,
REGUA3,1.1,7.3,0.8,0.4,0.08,0.035,0.55,5.65,
REGUA4,1.1,7.3,0.8,0.4,0.08,0.035,0.55,5.65,
REGUA5,1.1,7.3,0.8,0.4,0.08,0.035,0.55,5.65,
REGUA6,1.1,7.3,0.8,0.4,0.08,0.035,0.55,5.65,
REGUA7,1.1,7.3,0.8,0.4,0.08,0.035,0.55,5.65,
REGUA8,1.1,7.3,0.8,0.4,0.08,0.035,0.55,5.65,
S_HELENA1,0.4,12.1,0.35,0.35,0.055,0.015,5.6,6.1,
S_HELENA2,0.4,12.1,0.35,0.35,0.055,0.015,5.6,6.1,
S_HELENA3,0.4,12.1,0.35,0.35,0.055,0.015,5.6,6.1,
S_HELENA4,0.4,12.1,0.35,0.35,0.055,0.015,5.6,6.1,
S_HELENA5,0.4,12.1,0.35,0.35,0.055,0.015,5.6,6.1,
S_HELENABaixada,3.3,8.25,2.3,2,0.09,0.04,0.8,4.9,
S_JORGE1,0.2,6,0.15,0.15,0.055,0.01,1.85,3.95,
S_JORGE2,0.2,6,0.15,0.15,0.055,0.01,1.85,3.95,
S_JORGE3,0.2,6,0.15,0.15,0.055,0.01,1.85,3.95,
S_JORGE4,0.2,6,0.15,0.15,0.055,0.01,1.85,3.95,
S_JORGE5,0.2,6,0.15,0.15,0.055,0.01,1.85,3.95,
