"","Anadenanthera colubrina","Ceiba speciosa","Citharexylum myrianthum","Croton floribundus","Inga edulis","Inga laurina","Joannesia princeps","Moquiniastrum polymorphum","Pityrocarpa gonoacantha","Pityrocarpa paniculata","Plathymenia reticulata","Pleroma granulosum","Pseudobombax grandiflorum","Tapirira guianensis","Aegiphila integrifolia","Cecropia pachystachya","Cenostigma pluviosum","Dalbergia nigra","Jacaratia spinosa","Schinus terebinthifolia","Schizolobium parahyba","Senna multijuga","Trema micranthum"
"ML11",1,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML12",1,0,0,0,0,3,0,0,4,0,0,0,9,1,0,0,0,0,0,0,0,0,0
"ML13",6,0,1,0,0,0,6,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0
"ML14",0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML15",0,2,2,3,0,5,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ML21",0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"ML22",1,0,1,0,5,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"ML23",0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML24",0,1,0,1,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"ML25",6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"REGUA_PV1",0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0
"REGUA_PV2",1,1,3,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0
"REGUA_PV3",0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0
"REGUA_PV4",0,4,1,0,0,2,0,0,0,0,0,1,0,0,5,0,1,1,0,1,0,0,0
"REGUA_PV5",0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,3,0,0,1,0,0,0
"REGUA1",1,0,3,0,0,0,0,5,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"REGUA2",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1
"REGUA3",1,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
"REGUA4",2,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"REGUA5",0,1,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,4,0,1,0
"REGUA6",0,0,0,0,0,4,0,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,3
"REGUA7",0,0,0,0,0,3,0,8,0,0,0,0,1,0,0,3,0,0,0,4,0,0,0
"REGUA8",0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
