spp,WD,SLA,LDMC,leafC,leafN,leafP,leafCN
Aegiphila integrifolia,0.367790844,192.9992182,0.246947596,45.88278,2.99578,2.16,21.24202778
Anadenanthera colubrina,0.526918168,49.53739466,0.441371923,49.9763125,2.6266375,1.093,45.72459762
Cecropia pachystachya,0.353680277,97.17298147,0.255586712,40.378,1.569,1.56,25.88333333
Ceiba speciosa,0.302369459,153.8143299,0.309808214,44.8719,2.9248,1.944,24.06856131
Cenostigma pluviosum,0.443282168,152.5389285,0.395216457,48.845,2.99472,0.96,50.88020833
Citharexylum myrianthum,0.388251212,102.5430782,0.319791288,42.9719,1.57865,1.2045,36.28737171
Croton floribundus,0.417646628,144.1647063,0.348736667,46.0632,2.8826,1.587,29.02533081
Dalbergia nigra,0.557891592,208.0963843,0.42622801,46.54032,1.87716,0.88,52.88672727
Inga edulis,0.441677844,107.4183,0.400259995,46.2918,3.4254,1.396,33.16031519
Inga laurina,0.654733316,93.30043387,0.412131336,47.3384,3.1267,1.079,45.16970163
Jacaratia spinosa,0.252,82.78165054,0.285230307,44.4214,2.2416,2.114,21.01296121
Joannesia princeps,0.307948238,143.8581683,0.278824975,46.4542,2.4749,1.3555,34.27089635
Moquiniastrum polymorphum,0.46125,155.6425292,0.28359581,45.3862,2.9998,1.5035,30.20157233
Pityrocarpa gonoacantha,0.493039847,70.66148784,0.476274589,46.71202,2.77488,1.286,36.66186841
Pityrocarpa paniculata,0.510373919,111.008456,0.425789194,48.63018,2.2602,0.926,52.51639309
Plathymenia reticulata,0.44493726,121.0670696,0.3901962,49.29885556,2.496122222,0.644444444,76.4982242
Pleroma granulosum,0.478876921,109.5801012,0.347914466,45.52132,1.65342,1.02,44.6287451
Pseudobombax grandiflorum,0.2424,118.7809252,0.350829594,45.049,2.4468,1.467,31.70683379
Schinus terebinthifolia,0.533667289,125.5237969,0.35633397,47.13898,1.53658,1.37,34.4080146
Schizolobium parahyba,0.217430848,81.74061361,0.513783332,48.997,2.278333333,1.29,37.98217054
Senna multijuga,0.453704294,159.9949912,0.379870787,47.7304,1.72816,1.75,27.27451429
Tapirira guianensis,0.4436,110.0293376,0.378791758,46.08,1.668,1.039,44.35033686
Trema micranthum,0.262,149.7670836,0.241033333,42.8786,2.3194,1.418,30.23878702
