especie,WD,SLA,LDMC,leafC,leafN,leafP,leafCN
Aegiphila integrifolia,0.367790844,192.9992182,0.246947596,45.88278,2.99578,2.16,21.24202778
Anadenanthera colubrina,0.600859979,73.84118104,0.465893846,50.084225,2.110275,1.09,45.94883028
Cecropia pachystachya,0.353680277,97.17298147,0.255586712,40.378,1.569,1.56,25.88333333
Ceiba speciosa,0.376,118.0881531,0.327988095,45.7354,2.7966,1.568,29.16798469
Cenostigma pluviosum,0.443282168,152.5389285,0.395216457,48.845,2.99472,0.96,50.88020833
Citharexylum myrianthum,0.384,104.1840337,0.3,42.0784,1.6827,1.349,31.19229059
Dalbergia nigra,0.557891592,208.0963843,0.42622801,46.54032,1.87716,0.88,52.88672727
Inga laurina,0.676891123,98.08197518,0.419378616,47.17,3.49,1.26,37.43650794
Jacaratia spinosa,0.252,82.78165054,0.285230307,44.4214,2.2416,2.114,21.01296121
Moquiniastrum polymorphum,0.482,110.8112581,0.293883333,47.1224,2.7196,1.576,29.9
Pityrocarpa gonoacantha,0.512970723,67.15178567,0.497390845,46.74524,2.30976,1.41,33.15265248
Pleroma granulosum,0.524983597,100.8094269,0.347690312,45.6478,1.3358,1.02,44.7527451
Pseudobombax grandiflorum,0.254,89.96223218,0.42341827,45.918,2.1456,1.22,37.63770492
Schinus terebinthifolia,0.533667289,125.5237969,0.35633397,47.13898,1.53658,1.37,34.4080146
Schizolobium parahyba,0.217430848,81.74061361,0.513783332,48.997,2.278333333,1.29,37.98217054
Senna multijuga,0.453704294,159.9949912,0.379870787,47.7304,1.72816,1.75,27.27451429
Trema micranthum,0.262,149.7670836,0.241033333,42.8786,2.3194,1.418,30.23878702
