spp;wd;sla;ldmc;nfix
Aegiphila integrifolia;0.367790844;192.9992182;0.246947596;0
Alchornea glandulosa;0.435497;2.156591;0.448208378;0
Anadenanthera colubrina;0.526918168;49.53739466;0.441371923;1
Andira anthelmia;0.617681;2.311263;0.6590668;1
Annona crassiflora;0.342573478;150.6065678;0.311563173;0
Apuleia leiocarpa;0.7998444;;0.3485593;1
Astronium graveolens;0.8078626;15.87229;0.4506365;0
Baccharis dracunculifolia;;;;0
Bauhinia forficata;0.445485501;202.5508796;0.371313486;0
Bixa orellana;0.36;;;0
Cassia ferruginea;0.7528571;;;0
Cecropia pachystachya;0.353680277;97.17298147;0.255586712;0
Cedrela fissilis;0.4066148;20.91468;;0
Ceiba speciosa;0.302369459;153.8143299;0.309808214;0
Cenostigma pluviosum;0.443282168;152.5389285;0.395216457;1
Centrolobium microchaete;0.6143091;23.33721;0.310553;0
Centrolobium tomentosum;;;0.6622222;0
Cestrum laevigatum;;;;0
Chloroleucon tortum;;;;1
Cinnamomum verum;;;0.4862305;0
Citharexylum myrianthum;0.388251212;102.5430782;0.319791288;0
Copaifera langsdorffii;0.6614074;;;0
Cordia superba;;;0.3247436;0
Croton floribundus;0.417646628;144.1647063;0.348736667;0
Croton urucurana;0.378;151.4386488;0.31397512;0
Cupania vernalis;0.449453153;96.09889248;0.362874911;0
Cybistax antisyphilitica;0.5662563;3.246771;0.3082779;0
Dalbergia nigra;0.557891592;208.0963843;0.42622801;1
Enterolobium contortisiliquum;0.36;9.917340119;0.401908135;1
Erythrina verna;;;;1
Eugenia uniflora;;28.07836;0.8145888;0
Gallesia integrifolia;0.4920347;19.94451;0.2471457;0
Genipa americana;0.6348998;15.89942;0.3052034;0
Guarea guidonia;0.424876937;156.79328;0.288482486;0
Guazuma ulmifolia;0.352;117.2680995;0.341356691;0
Handroanthus albus;;;;0
Handroanthus heptaphyllus;0.8396806;;0.2980759;0
Himatanthus bracteatus;0.53;;0.2782622;0
Hydrochorea pedicellaris;0.4963527;;;1
Hymenaea courbaril;0.7099216;6.944777;0.432142;1
Inga edulis;0.441677844;107.4183;0.400259995;1
Inga laurina;0.654733316;93.30043387;0.412131336;1
Inga vera;0.452666667;18.0035;0.431801523;1
Jacaratia spinosa;0.252;82.78165054;0.285230307;0
Joannesia princeps;0.307948238;143.8581683;0.278824975;0
Lecythis pisonis;0.8622044;;0.4440171;0
Libidibia ferrea;1.095833;;0.2135;0
Luehea divaricata;0.412650584;157.69;0.496001011;0
Machaerium hirtum;;;;0
Machaerium nyctitans;0.8858567;2.414801;0.5260206;1
Marlimorimia contorta;0.62;;;1
Mespilodaphne pulchella;0.5233634;6.396229;0.4584708;1
Miconia albicans;0.63;3.93095;0.4184307;0
Miconia sellowiana;;;;0
Mimosa bimucronata;0.644987;2.640667;0.3973717;0
Mimosa schomburgkii;0.46;16.30621;0.390477397;0
Moquiniastrum polymorphum;0.46125;155.6425292;0.28359581;0
Myrcia splendens;0.6662508;3.447315;0.4021892;0
Myrcia tomentosa;0.7980888;;0.4603008;0
Myrsine coriacea;0.48159506;119.31;0.482;0
Pachira glabra;;;;0
Paubrasilia echinata;0.9338462;;0.4067381;0
Peltophorum dubium;0.47;11.1594;0.441666667;0
Pilocarpus microphyllus;;;;0
Piptocarpha axillaris;0.45;;0.377549;0
Pityrocarpa gonoacantha;0.493039847;70.66148784;0.476274589;1
Pityrocarpa paniculata;0.510373919;111.008456;0.425789194;1
Plathymenia reticulata;0.44493726;121.0670696;0.3901962;1
Pleroma granulosum;0.432770245;109.5801012;0.347914466;0
Pleroma sellowianum;;;;0
Plinia cauliflora;1.187462;18.97044;0.2774915;0
Pseudobombax grandiflorum;0.2424;118.7809252;0.350829594;0
Psidium cattleianum;0.8954482;3.082608;0.6035943;0
Psidium guajava;0.574762476;96.16;0.407999697;0
Psidium sartorianum;0.8485068;;;0
Pterocarpus rohrii;0.4889642;28.06913;0.3165114;0
Pterogyne nitens;0.7046182;;;0
Pterygota brasiliensis;0.374;;;0
Samanea saman;0.543268;9.766266;0.4962911;0
Sapindus saponaria;0.6689297;16.91023;0.3795373;0
Schinus molle;0.52521;;;0
Schinus terebinthifolia;0.533667289;125.5237969;0.35633397;0
Schizolobium parahyba;0.217430848;81.74061361;0.513783332;1
Senegalia polyphylla;0.6;7.058309;0.268;0
Senna macranthera;0.8247245;14.55011;0.3150924;0
Senna multijuga;0.453704294;159.9949912;0.379870787;1
Solanum lycocarpum;;26.4208;;1
Solanum pseudoquina;0.53;;;0
Spondias mombin;0.52;15.12363;0.453;0
Stryphnodendron adstringens;0.8175;10.12783;;1
Tabernaemontana hystrix;;;;0
Tapirira guianensis;0.4436;110.0293376;0.378791758;0
Tecoma stans;0.326270364;616.4376786;0.324911878;0
Trema micranthum;0.262;149.7670836;0.241033333;0
Triplaris americana;0.4124095;18.46736;0.3129645;0
Vernonanthura polyanthes;;;;0
Zanthoxylum rhoifolium;0.5107239;2.930389;0.341323;0
Zeyheria tuberculosa;0.77125;;;0
