site,Ca2+,Mg2+,K+,Na+,Al3+,H+
CSA,1.5,1.05,0.105,0.035,0.15,4.45
CSA,1.5,1.05,0.105,0.035,0.15,4.45
CSA,1.5,1.05,0.105,0.035,0.15,4.45
CSA,1.5,1.05,0.105,0.035,0.15,4.45
CSA,1.5,1.05,0.105,0.035,0.15,4.45
CSA,1.5,1.05,0.105,0.035,0.15,4.45
CSA,1.5,1.05,0.105,0.035,0.15,4.45
EEG,1.6,0.65,0.065,0.015,0.05,2.9
EEG,1.6,0.65,0.065,0.015,0.05,2.9
EEG,1.6,0.65,0.065,0.015,0.05,2.9
EEG,1.6,0.65,0.065,0.015,0.05,2.9
EEG,1.6,0.65,0.065,0.015,0.05,2.9
EEG,1.25,0.5,0.05,0.02,0.3,2.65
EEG,1.25,0.5,0.05,0.02,0.3,2.65
EEG,1.25,0.5,0.05,0.02,0.3,2.65
EEG,1.25,0.5,0.05,0.02,0.3,2.65
EEG,1.25,0.5,0.05,0.02,0.3,2.65
EEG,0.9,0.6,0.035,0.02,0.35,2.85
EEG,0.9,0.6,0.035,0.02,0.35,2.85
EEG,0.9,0.6,0.035,0.02,0.35,2.85
EEG,0.9,0.6,0.035,0.02,0.35,2.85
EEG,0.9,0.6,0.035,0.02,0.35,2.85
EEG,0.85,0.6,0.04,0.02,0.3,2.8
EEG,0.85,0.6,0.04,0.02,0.3,2.8
EEG,0.85,0.6,0.04,0.02,0.3,2.8
EEG,0.85,0.6,0.04,0.02,0.3,2.8
EEG,0.85,0.6,0.04,0.02,0.3,2.8
EEG,0.45,0.65,0.025,0.02,0.55,3.25
EEG,0.45,0.65,0.025,0.02,0.55,3.25
EEG,0.45,0.65,0.025,0.02,0.55,3.25
EEG,0.45,0.65,0.025,0.02,0.55,3.25
EEG,0.45,0.65,0.025,0.02,0.55,3.25
ML,0.1,0.1,0.045,0.025,1.15,6.2
ML,0.1,0.1,0.045,0.025,1.15,6.2
ML,0.1,0.1,0.045,0.025,1.15,6.2
ML,0.1,0.1,0.045,0.025,1.15,6.2
ML,0.1,0.1,0.045,0.025,1.15,6.2
ML,0,0,0.04,0.025,1.3,5.8
ML,0,0,0.04,0.025,1.3,5.8
ML,0,0,0.04,0.025,1.3,5.8
ML,0,0,0.04,0.025,1.3,5.8
ML,0,0,0.04,0.025,1.3,5.8
MP,1.35,2.1,0.4,0.035,0.25,2.05
MP,1.35,2.1,0.4,0.035,0.25,2.05
MP,1.35,2.1,0.4,0.035,0.25,2.05
MP,1.35,2.1,0.4,0.035,0.25,2.05
MP,1.35,2.1,0.4,0.035,0.25,2.05
MP,1.35,2.1,0.4,0.035,0.25,2.05
REGUA,0.75,0.3,0.21,0.055,0.85,4.55
REGUA,0.75,0.3,0.21,0.055,0.85,4.55
REGUA,0.75,0.3,0.21,0.055,0.85,4.55
REGUA,0.75,0.3,0.21,0.055,0.85,4.55
REGUA,0.75,0.3,0.21,0.055,0.85,4.55
REGUA,0.8,0.4,0.08,0.035,0.55,5.65
REGUA,0.8,0.4,0.08,0.035,0.55,5.65
REGUA,0.8,0.4,0.08,0.035,0.55,5.65
REGUA,0.8,0.4,0.08,0.035,0.55,5.65
REGUA,0.8,0.4,0.08,0.035,0.55,5.65
REGUA,0.8,0.4,0.08,0.035,0.55,5.65
REGUA,0.8,0.4,0.08,0.035,0.55,5.65
REGUA,0.8,0.4,0.08,0.035,0.55,5.65
RESENDE,0.35,0.35,0.055,0.015,5.6,6.1
RESENDE,0.35,0.35,0.055,0.015,5.6,6.1
RESENDE,0.35,0.35,0.055,0.015,5.6,6.1
RESENDE,0.35,0.35,0.055,0.015,5.6,6.1
RESENDE,0.35,0.35,0.055,0.015,5.6,6.1
RESENDE,2.3,2,0.09,0.04,0.8,4.9
RESENDE,0.15,0.15,0.055,0.01,1.85,3.95
RESENDE,0.15,0.15,0.055,0.01,1.85,3.95
RESENDE,0.15,0.15,0.055,0.01,1.85,3.95
RESENDE,0.15,0.15,0.055,0.01,1.85,3.95
RESENDE,0.15,0.15,0.055,0.01,1.85,3.95
