"plot","richness","MPD_func","Rao_func","Simpson"
"ML11",3,0.24369415184841,0.104728065257168,0.429752066115702
"ML12",5,0.725007911297734,0.483338607531823,0.666666666666667
"ML13",6,0.580133315572886,0.444637325767881,0.766439909297052
"ML14",3,0.600733675467468,0.349406321445364,0.581632653061224
"ML15",7,0.559872744350109,0.457197119953722,0.816608996539792
"ML21",4,0.369856623931168,0.266296769230441,0.72
"ML22",8,0.414281729215005,0.328483737957459,0.792899408284024
"ML23",5,0.36239536779307,0.281863063839054,0.777777777777778
"ML24",6,0.385559594451857,0.313267170492134,0.8125
"ML25",4,0.57737370720486,0.299378959291409,0.518518518518518
