"plot","richness","MPD_func","Rao_func","Simpson","site","Rao_phylo"
"ML11",3,0.24369415184841,0.104728065257168,0.429752066115702,"ML",0.04687592516011
"ML12",5,0.725007911297734,0.483338607531823,0.666666666666667,"ML",0.546277824944753
"ML13",6,0.580133315572886,0.444637325767881,0.766439909297052,"ML",0.664497485095029
"ML14",3,0.600733675467468,0.349406321445364,0.581632653061224,"ML",0.3696980550819
"ML15",7,0.559872744350109,0.457197119953722,0.816608996539792,"ML",0.68294178615867
"ML21",4,0.369856623931168,0.266296769230441,0.72,"ML",0.566917828272113
"ML22",8,0.414281729215005,0.328483737957459,0.792899408284024,"ML",0.721279948380008
"ML23",5,0.36239536779307,0.281863063839054,0.777777777777778,"ML",0.627356290437987
"ML24",6,0.385559594451857,0.313267170492134,0.8125,"ML",0.6359057871766
"ML25",4,0.57737370720486,0.299378959291409,0.518518518518518,"ML",0.400245746470112
"REGUA_PV1",6,0.498972399841724,0.406570103574738,0.814814814814815,"REGUA",0.744057026000976
"REGUA_PV2",8,0.520720351485627,0.44116585334199,0.847222222222222,"REGUA",0.702530536923519
"REGUA_PV3",6,0.340514406995484,0.269048420342111,0.790123456790123,"REGUA",0.743992623533648
"REGUA_PV4",8,0.503796769605404,0.405398963041848,0.8046875,"REGUA",0.747433627478428
"REGUA_PV5",5,0.374089800030881,0.286412503148643,0.765625,"REGUA",0.662401789276356
"REGUA1",8,0.397745525483724,0.316572969262556,0.795918367346939,"REGUA",0.730631182837004
"REGUA2",6,0.419352597960617,0.331340324314561,0.790123456790123,"REGUA",0.75092369802148
"REGUA3",8,0.534888716736341,0.462249508290665,0.864197530864197,"REGUA",0.786166088246384
"REGUA4",7,0.519285886121622,0.435943706867535,0.839506172839506,"REGUA",0.764622862275261
"REGUA5",6,0.363663908029661,0.288348897490974,0.792899408284024,"REGUA",0.72071180371514
"REGUA6",7,0.571276472375385,0.459725445225162,0.804733727810651,"REGUA",0.754923535381189
"REGUA7",5,0.380358767025603,0.276049853076753,0.725761772853185,"REGUA",0.710902337358005
"REGUA8",3,0.206360312243145,0.0926515687622282,0.448979591836735,"REGUA",0.420952394223088
