plot,site,log_biomass,fdis2,fric2,fdiv2,fdis,fric,fdiv,cwm_wd,cwm_sla,cwm_ldmc,cwm_leafc,cwm_leafn,cwm_leafp,cwm_leafcn,fdis_wd,fric_wd,fdis_sla,fric_sla,fdis_ldmc,fric_ldmc,fdis_leafc,fric_leafc,fdis_leafn,fric_leafn,fdis_leafp,fric_leafp,SR,SESPD,SESMPD,SESMNTD,PSV,PSR,PSE,PSEab,PSC,n_trees,PC1,PC2,PC1_CN,PC2_CN,richness,MPD_func,raoq,Rao_phylo,Simpson,Rao_WD,Rao_SLA,Rao_LDMC,Rao_leafC,Rao_leafN,Rao_leafP
ML11,ML,6.45456163,0.838218083,0.687008621,0.723282618,0.395576413,0.174660606,0.331193543,0.478054178,76.42000367,0.446335914,47.32356,3.053036364,1.113090909,42.90016599,0.111232783,0.543239172,0.28121401,1.917778624,0.211943878,0.632701907,0.467142348,1.588766515,0.472596566,1.606116816,0.169207122,0.561324183,3,-4.905155157,-5.380588018,-3.945266848,0.147485337,0.442456012,0.155964989,0.064013651,0.090542844,11,-4.153373552,0.07075585,-3.78104917,0.657901143,3,0.328780267,0.141293999,0.046875925,0.429752066,0.035694628,0.108700544,0.07219201,0.157398305,0.154362609,0.045811868
ML12,ML,5.988746182,2.465178947,6.932430626,0.815845013,2.081639793,4.564917219,0.879122762,0.375774376,112.5500527,0.351949751,45.71133333,2.821844444,1.3835,35.62374384,1.372109845,3.802603921,0.783648231,2.735894315,1.217377931,2.921974857,0.762769979,2.833439756,0.363139872,2.576868376,0.786091705,1.940849717,5,-2.034486665,-2.105653747,-1.629429955,0.661369867,3.306849337,0.481998038,0.621663068,0.428907163,18,0.641240264,1.439588828,0.776242151,0.905889359,5,0.619508845,0.413005897,0.546277825,0.666666667,0.408322994,0.229968944,0.446543975,0.286206765,0.157257421,0.215660919
ML13,ML,7.119551615,2.345537319,8.583287677,0.905321846,1.862747381,3.973226516,0.931264421,0.360411517,100.6096052,0.344806804,46.8899419,2.745819048,1.313761905,37.22611408,0.867883079,2.646027096,1.075609919,2.735894315,1.154462648,2.921974857,0.93032352,2.990144655,0.528042947,2.893895312,0.510043673,1.874251933,6,-1.181102068,-1.148149958,-1.1834795,0.736003392,4.416020352,0.508467596,0.725948931,0.484401046,21,-0.394539192,1.879202201,0.313199328,1.522550986,6,0.535610033,0.410512905,0.664497485,0.766439909,0.267687183,0.315437937,0.415824061,0.392297718,0.225592663,0.164772912
ML14,ML,6.510445944,1.585283169,1.938500725,0.702696552,1.452727029,2.526514642,0.703368114,0.471888786,92.17862162,0.406599554,46.8081,2.973921429,1.146892857,41.63500355,0.664977928,3.072434495,0.495199763,1.558081429,0.91656991,2.912328549,0.149154999,0.524308889,0.498472887,1.254174297,0.25370989,1.088160227,5,-1.52461708,-1.476010991,-1.179554222,0.692175315,3.460876577,0.308266973,0.511029247,0.49337749,16,-2.660773515,-0.039464772,-2.563634641,0.07429853,3,0.467746651,0.272056725,0.369698055,0.581632653,0.270686875,0.146439581,0.368834671,0.056999701,0.16946109,0.091943309
ML15,ML,6.933766051,2.27139253,10.46677299,0.777345978,1.72750633,4.399715608,0.70442315,0.448022074,115.8791292,0.367976058,46.00834118,2.733111765,1.327441176,38.4031625,1.111274561,3.82211103,0.767754663,2.579460241,0.866774938,2.921974857,0.592696586,1.813811885,0.535205513,2.893895312,0.889391519,3.382216051,7,-2.448056859,-0.551843919,-2.955185642,0.778826315,5.451784207,0.508994297,0.725373956,0.274509913,17,-0.109015858,-0.042542499,-0.351002283,-0.415362595,7,0.536184246,0.437852879,0.682941786,0.816608997,0.392766947,0.233938675,0.367060402,0.245068436,0.244564381,0.285803053
ML21,ML,6.534460807,1.636343397,4.395015345,0.913866308,1.037682126,0.533767907,0.686298807,0.440628833,118.3288311,0.375760396,47.08024,2.478348,1.1247,43.39374856,0.532053187,1.915857669,0.228513149,0.814733017,0.822876585,2.427266715,0.617630492,1.611549993,0.620974135,2.384029447,0.477696394,1.117891381,11,0.35785982,1.277134772,0.524227614,0.866571068,9.532281743,0.651757072,0.77307836,0.578625236,15,-1.281458907,-0.475524936,-1.7214027,-0.507519959,4,0.414414517,0.298378453,0.566917828,0.72,0.191148617,0.073245349,0.326932235,0.226657918,0.256175518,0.130774536
ML22,ML,6.556311864,1.917598731,9.706125819,0.753648619,1.222184984,5.180014935,0.670369186,0.401341132,117.4920845,0.353374006,45.95431077,2.797033846,1.311615385,35.87387505,0.533165272,2.102787924,0.573335633,3.918070425,0.82154254,2.370740474,0.515504102,3.097437202,1.001383226,3.197808415,0.377434358,1.650673657,13,0.582561797,0.515329676,0.398590003,0.833381892,10.83396459,0.672563776,0.766397775,0.536273475,18,0.251677555,0.842060138,0.407518274,0.272337113,8,0.449940654,0.356757678,0.721279948,0.792899408,0.158993051,0.211305406,0.32471868,0.237758528,0.383320088,0.119921366
ML23,ML,6.984643643,1.654428738,5.007064254,0.772840228,1.037969472,1.384237725,0.63860049,0.412426991,112.9887979,0.370470424,45.94086667,2.820483333,1.326083333,35.19506579,0.392471707,1.563163604,0.462408708,1.564935093,0.79424007,2.912328549,0.344602452,1.40137814,0.924233877,3.197808415,0.341049368,1.253465442,12,-1.417852298,-0.59318872,-2.293356363,0.789092946,9.469115356,0.178087592,0.753218479,0.335265177,16,-0.111586916,0.701560591,0.128816038,0.328625908,5,0.385674318,0.299968914,0.62735629,0.777777778,0.13720637,0.151802986,0.340702683,0.136155067,0.369161939,0.111986074
ML24,ML,6.335338302,1.991934842,6.30199264,0.765648856,1.277343833,1.845147141,0.839501819,0.369795499,135.2667174,0.34729291,46.48588889,2.875193056,1.382173611,40.91980082,0.808976499,2.046209006,0.470061344,1.836111829,0.797660686,2.015271787,0.700581147,2.635220292,0.526859664,1.558087399,0.893202316,3.985295989,15,-0.952440638,-0.226060493,-1.657006528,0.805388592,12.08082888,0.610948492,0.756099166,0.369917258,19,0.668846613,1.495479891,0.663409113,0.086676086,6,0.540818404,0.439414953,0.635905787,0.8125,0.232867607,0.154760096,0.309058173,0.320623406,0.209931858,0.331441686
ML25,ML,6.222160505,1.931717766,8.022909252,0.920343466,1.289413268,1.716105964,0.816165906,0.443615379,62.24398582,0.390472318,48.11306667,3.004222222,1.162555556,42.00534471,0.118129293,0.572355492,1.103318168,3.918070425,0.616796131,2.370740474,1.16579501,3.097437202,0.55720033,3.197808415,0.265275302,0.882420643,8,-0.55138571,-0.236110519,-0.098559947,0.799140646,6.393125165,0.253334879,0.597004262,0.570211584,15,-3.810525333,1.198451446,-2.679623749,1.586193106,4,0.611719624,0.317187953,0.400245746,0.518518519,0.036920181,0.309656645,0.227877113,0.397353612,0.207934953,0.070262305
REGUA_PV1,REGUA,5.446521446,1.942681708,3.708262555,0.633333711,1.319886133,4.340447937,0.715125157,0.518440356,126.8501797,0.381064859,45.67538222,1.925382222,1.209777778,39.14621894,0.455046908,2.186096756,0.878914487,3.430634858,0.629338779,2.282013051,0.639177737,2.027954511,0.722591403,3.594019896,0.525372427,1.475290313,12,-2.664579225,-2.383047927,-2.508329124,0.723320871,8.679850446,0.737723808,0.733270186,0.30829946,18,0.257545213,-2.90374553,-1.269860601,-1.997520918,6,0.524680132,0.427517145,0.744057026,0.814814815,0.19257858,0.337963148,0.251370691,0.197075614,0.270776468,0.168942901
REGUA_PV2,REGUA,5.836151071,2.29962629,7.220380735,0.777522956,1.511784095,4.816076753,0.877964844,0.414038864,100.3167296,0.386202273,45.79415208,2.350080139,1.295416667,36.16102419,0.922742583,3.429344687,0.331010067,1.915527365,0.862127171,2.984981683,1.103418218,3.865932668,0.937350221,3.204954145,0.323782924,1.69240851,13,-1.845384186,-1.129172522,-1.675466604,0.772805794,10.04647532,0.636040536,0.772938914,0.380258603,21,-0.188924927,-0.027060055,-0.583087579,0.795989029,8,0.564370195,0.478146971,0.702530537,0.847222222,0.365441907,0.142101656,0.348349874,0.367540297,0.34033805,0.135991753
REGUA_PV3,REGUA,5.196697421,1.971784513,5.129692207,0.829384668,0.932855736,0.901777108,0.721421777,0.461122927,117.79259,0.349091545,45.51304222,2.244057778,1.242777778,37.90028231,0.584126614,2.245807592,0.419299371,1.325498984,0.436177633,1.380122567,0.911998611,2.695097218,1.223406348,3.594019896,0.487639635,1.69240851,10,-0.666223488,-0.156894274,-1.09048285,0.804068019,8.040680193,0.740915129,0.787671093,0.453519111,13,0.674221753,-1.189200084,-0.343745584,-0.798130374,6,0.526267194,0.415816055,0.743992624,0.790123457,0.214294991,0.150518808,0.177785496,0.300382919,0.383497984,0.170100309
REGUA_PV4,REGUA,6.065958352,2.139795534,10.00532018,0.718486471,1.386976623,4.955958546,0.867102589,0.44628507,145.2915765,0.325682271,46.059125,2.66076625,1.5731875,31.99219246,0.689379689,2.307079539,0.938898053,2.677784537,0.606015353,2.072640424,0.327033106,2.695097218,0.878155976,3.594019896,1.020894807,3.562965284,10,-0.214839478,0.253837328,0.058644549,0.826932054,8.26932054,0.614488762,0.776263326,0.554083946,18,2.029106762,0.044539986,2.51401913,-1.424461318,8,0.593149327,0.477299849,0.747433627,0.8046875,0.232942543,0.316352437,0.262549457,0.125621508,0.309731934,0.387139893
REGUA_PV5,REGUA,6.051057206,1.937626717,3.105840407,0.923516099,0.991506131,0.77694226,0.683372699,0.529743987,114.4407891,0.375850122,46.83258625,2.60648375,1.208375,40.04663211,0.690088385,2.245807592,0.414757372,1.325498984,0.398476967,1.056555392,0.399822794,1.273426067,1.283115894,3.594019896,0.521440317,1.69240851,7,-1.29798884,-1.257382556,-0.77714085,0.738493294,5.169453057,0.718355986,0.705726155,0.510188281,18,-1.403201724,-1.643549897,-1.586137022,-1.759462543,5,0.52133438,0.399146635,0.662401789,0.765625,0.270773251,0.146836874,0.146950471,0.128735538,0.43105699,0.185925293
REGUA1,REGUA,5.989499392,1.843346935,6.47631155,0.708913991,1.061735662,4.086193328,0.800833446,0.441464103,107.662178,0.341913827,45.82486179,2.250258214,1.422642857,33.13243681,0.477303092,2.58891245,0.392765508,2.259832163,0.74686803,2.79547001,0.949433525,3.865932668,0.750930385,2.378639888,0.4897089,2.199017636,17,-0.025370184,-0.347848355,0.621085849,0.802857263,13.64857348,0.59078194,0.800679776,0.510619306,23,1.020644731,-0.363278316,0.918433765,0.012643382,8,0.491672859,0.39133146,0.730631183,0.795918367,0.187971744,0.174869048,0.275313903,0.309020079,0.253325705,0.17837213
REGUA2,REGUA,5.407346948,1.818473638,3.350666406,0.884581943,1.151483614,2.348988185,0.825536498,0.378337652,113.7944347,0.309238479,45.26132889,2.027535556,1.686111111,27.82894497,0.821605539,2.102323691,0.571358588,1.879396448,0.423445167,1.605083975,0.715641167,2.251158555,0.602885899,1.973724546,0.833557927,2.12942847,11,0.719284012,0.797042119,0.556140056,0.846616176,9.312777933,0.712766589,0.834133346,0.581724774,17,3.353639481,0.68989791,3.487252218,0.900035104,6,0.461540774,0.364674192,0.750923698,0.790123457,0.281959955,0.216049768,0.167591237,0.221445261,0.199708178,0.274382716
